Initial Filename,Policy 1,Policy 2,Policy 3,Policy 4,Policy 5,Policy 6,Policy 7,Policy 8,Policy 9,Policy 10,Incomplete_policy,Total_timestamp
initial_parameters_20_100,1,26153,12294,0,0,1,71,1,0,52,38573,3
initial_parameters_20_10,5691,41899,0,0,0,1,1,1,0,46,47639,4
initial_parameters_20_11,1,1,27887,0,0,0,49,1,0,317,28256,4
initial_parameters_20_21,19,15346,17805,0,0,1,51,59923,49277,46,142468,2
initial_parameters_20_22,992,6069,4343,0,0,0,86,2,0,34,11526,4
initial_parameters_20_31,11680,0,1,0,0,1,36463,4,53147,43,101339,3
initial_parameters_20_32,9,1,1,0,0,0,21084,31262,23090,16,75463,3
initial_parameters_20_41,737,12,1,0,0,1,12443,1,0,254,13449,3
initial_parameters_20_42,10,3523,1590,0,0,1,59,12287,57515,1233,76218,2
initial_parameters_20_71,849,4594,10319,0,0,0,1,16097,66041,827,98728,3
initial_parameters_20_72,1,5091,1,0,0,1,14,53382,0,60,58550,3
initial_parameters_20_79,3,1277,233,0,0,1,9009,1,0,43,10567,3
initial_parameters_20_80,207,1,333,0,0,0,60,1,0,18,620,4
initial_parameters_20_87,1,15456,62403,0,0,0,16083,61982,72032,115,228072,3
initial_parameters_20_88,42,8553,1,0,0,0,10941,1,24339,1,43878,3
initial_parameters_20_95,11,31756,9267,0,0,0,32,9,0,27,41102,4
